lat,lon,ppt
7.492328,-74.868139,23.114000000000004
5.855444,-75.826167,32.004
6.059778,-75.792333,2.032
5.596583,-75.813861,3.048
5.655417,-75.882556,0.0
5.790806,-75.842722,31.75
6.5375,-75.089356,0.508
7.109611,-75.553583,5.588000000000001
5.663675,-75.718194,1.524
6.049303,-75.906461,11.175999999999998
6.907583,-75.672306,2.032
5.800361,-75.924194,3.048
6.400195,-74.747727,11.684000000000001
6.495086,-75.910008,2.032
8.096536,-74.774978,9.144
6.187606,-74.61628,0.0
5.849889,-76.022917,5.587999999999999
6.882222,-75.340056,0.0
7.577472,-75.343772,0.0
7.989083,-75.197442,0.0
7.076972,-75.142278,5.334
7.580683,-75.400611,15.24
5.700583,-75.966472,1.016
5.874694,-75.568361,0.254
6.968,-75.415361,0.254
7.140361,-75.460611,0.0
6.206861,-75.733639,1.778
6.416961,-75.997911,11.43
5.551106,-75.644006,2.54
5.611086,-75.629453,34.798
6.567922,-75.520964,2.794
6.303581,-75.857964,4.318
6.112794,-75.990589,4.8260000000000005
6.378344,-75.439234,3.048
6.852722,-75.820472,0.0
7.011506,-75.691389,0.0
6.167361,-75.579911,3.048
6.486153,-75.395039,1.778
6.978667,-75.301639,0.0
6.479014,-75.638442,15.24
6.717892,-75.909778,0.254
6.444133,-75.726747,1.524
6.630556,-75.816139,0.254
5.963,-75.734444,0.0
7.03587,-73.946381,64.516
7.592075,-74.791447,76.45400000000001
5.9275,-75.672231,1.524
6.605789,-75.667314,5.588
6.816658,-75.239819,9.144
5.792769,-75.789567,11.175999999999998
6.498961,-74.448554,0.0
7.080978,-74.700575,2.54
5.967639,-75.983083,169.164
6.676806,-75.748583,7.8740000000000006
6.771556,-74.798389,4.318
6.513111,-75.709361,5.3340000000000005
5.741083,-75.607,3.048
6.352167,-75.507278,9.905999999999999
7.166361,-75.766111,0.0
6.553639,-74.7875,1.778
6.689847,-74.831631,2.54
6.913778,-75.079806,7.112
6.121978,-75.711787,3.048
6.161667,-75.775806,0.508
6.152472,-75.600139,1.524
6.027778,-75.705389,0.508
6.137972,-75.63975,12.7
6.848639,-75.68825,0.0
6.343237,-75.561611,3.048
6.431056,-75.325722,13.716000000000001
7.027819,-74.69585,0.0
6.091889,-75.634694,1.524
6.723903,-75.294114,0.0
5.945167,-75.525861,12.192
6.1955139,-75.619011,0.254
6.669083,-75.216611,0.508
6.267217,-75.640756,4.318
6.599389,-75.013861,2.032
6.134892,-75.531692,0.254
6.165095,-75.494832,1.524
6.4685,-75.3814722,3.556
6.4174722,-75.6724444,20.066000000000003
6.5361944,-75.7020278,4.318
7.7651389,-75.2639722,0.0
8.0568611,-74.8776667,0.0
7.79575,-75.0711944,0.0
7.7636944,-74.7205278,0.0
6.326944,-75.768889,8.89
5.6199167,-75.9431389,2.54
5.7695833,-75.7368889,1.27
6.2500381,-75.5830642,4.572
6.0463889,-74.5870556,0.0
6.9518633,-73.9581702,0.0
5.9113333,-75.6594167,5.334
6.8422778,-75.2176667,0.0
7.0639444,-75.6859722,0.762
5.5945556,-75.8404722,2.794
